ctyName,CCISO3,gdp_year,gdp_latest,gdp_growth_year,gdp_growth_latest,lpi_year,lpi_score,distance_from_th,fta_with_th,cte_2018,efi_score_2019,st_political risk,mlt_political risk,commercial risk,transfer restriction risk
South Africa,ZAF,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Spain,ESP,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Sri Lanka,LKA,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
State of Palestine,PSE,2018.0,YES,2018.0,YES,,NO,YES,0,YES,NO,YES,YES,YES,YES
Sudan,SDN,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Suriname,SUR,2018.0,YES,2018.0,YES,,NO,YES,0,YES,YES,YES,YES,YES,YES
Eswatini,SWZ,2018.0,YES,2018.0,YES,,NO,YES,0,YES,YES,YES,YES,YES,YES
Sweden,SWE,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Switzerland,CHE,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Syria,SYR,2007.0,YES,2007.0,YES,2018.0,YES,YES,0,YES,NO,YES,YES,YES,YES
Tajikistan,TJK,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Macedonia,MKD,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Thailand,THA,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Timor-Leste,TLS,2018.0,YES,2018.0,YES,,NO,YES,0,YES,YES,YES,YES,YES,YES
Togo,TGO,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Tonga,TON,2018.0,YES,2018.0,YES,,NO,YES,0,YES,YES,YES,YES,YES,YES
Trinidad and Tobago,TTO,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Tunisia,TUN,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Turkey,TUR,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Turkmenistan,TKM,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,NO,YES,YES,YES,YES,YES
Turks and Caicos Isds,TCA,2018.0,YES,2018.0,YES,,NO,YES,0,NO,NO,YES,YES,YES,YES
Tuvalu,TUV,2018.0,YES,2018.0,YES,,NO,YES,0,NO,NO,YES,YES,YES,YES
Taiwan,TWN,,NO,,NO,2018.0,YES,YES,0,NO,YES,YES,YES,YES,YES
Uganda,UGA,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Ukraine,UKR,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
United Arab Emirates,ARE,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
United Kingdom,GBR,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
United Rep. of Tanzania,TZA,2018.0,YES,2018.0,YES,2016.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Uruguay,URY,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
US Virgin Isds,VIR,2017.0,YES,2017.0,YES,,NO,YES,0,NO,NO,YES,YES,YES,YES
USA,USA,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Uzbekistan,UZB,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Vanuatu,VUT,2018.0,YES,2018.0,YES,,NO,YES,0,YES,YES,YES,YES,YES,YES
Venezuela,VEN,2014.0,YES,2014.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Viet Nam,VNM,2018.0,YES,2018.0,YES,2018.0,YES,YES,1,YES,YES,YES,YES,YES,YES
Yemen,YEM,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,NO,NO,YES,YES,YES,YES
Zambia,ZMB,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
Zimbabwe,ZWE,2018.0,YES,2018.0,YES,2018.0,YES,YES,0,YES,YES,YES,YES,YES,YES
